Timestamp,"If you give your consent to take part, please click 'I Agree' below.",Prolific ID,Date,Have you done anything exciting lately?,Are you looking forward to anything soon?,What was the most fun you’ve had recently?,How have things been these past 2 weeks?,"If you had one extra hour every day, how would you spend it?"
2023-01-12 14:26:54,I Agree,5fec9f4db0feb8e49ef63aee,2023-01-12,Yes! I started a winter training program for my rowing club. It has me working out very hard every day.,I'm looking forward to visiting my friend in her new home soon! She got married last year and is having a housewarming/reception party.,"Probably going to a Carly Rae Jepsen concert. I hadn't been to a live show in a long time and it was so great to be surrounded by so many people, all singing and dancing along.","Pretty good. I've been busy with my training program, so I've been at the gym a lot and not doing too many social things after the busy holiday season.","I would spend it reading, I think. I never seem to have enough time to read, and it would be great to have an extra hour dedicated to that each day."
2023-01-12 14:26:56,I Agree,5cf162a99681010001ee9b83,2023-01-12,I visited my family in St Catharines and saw my nephews. It was great to catch up with my brother and visit with my nephews.,I am looking forward to a date I have after work on Friday. I am very excited but a bit nervous. How about yourself?,The most fun I have had recently was hanging out with my young nephews and getting to be a kid for a bit. They had a lot of fun and so did I.,Things have been great. I have found myself to be a little anxious but over all things have been positive. Work has been great and I cannot complain. How about you?,"Doing all the things that I cannot get done in my day. Done. Outstanding work tasks, crafting, organizing, etc."
2023-01-12 14:29:10,I Agree,60ebaa55340060ab518419d0,1960-04-20,no nothing special. Have nobody to visit or to invite. live alone. no friends. no activities. no interests,no. But i would like to make new friends but i am shy to approach anybody on my own. I do not know how ,watch tv and sit in my garden and play with my three cats. Also i am following some celebrities online to feel good,dull and very boring. Feels so empty around me. I sleep wake up cook eat watch tv then go back to sleep,sleeping. I have nothiing else to do. My children are away and I live alone. No interest and no friends
2023-01-12 14:30:30,I Agree,5ebc3097a9c38504ebd8a347,2023-01-12,I haven't really done anything particularly exciting.  It's been mostly hanging out at home and doing one off things with my kid.,"I'm not sure I am.  The exciting time of year just passed.  Maybe the next long weekend in February will be exciting, but it'll also be cold.",Watching my son open his Christmas presents and see all of his excitement was a lot of fun.  He really enjoyed it.,"Things haven't been too bad.  I spend a week with an 8 year old, so I'm definitely ready for adult interaction again.",I would definitely spend an extra hour each day sleeping.  I generally don't get enough sleep and an extra hour would help a lot.
2023-01-12 14:30:39,I Agree,545cf48ffdf99b7f9e3254e6,2000-02-21,The most fun that Ive had recently is doing a Rupauls drag race-themed birthday party where my friends and I competed in a competition. ,I am looking forward to going on a trip to Japan with my boyfriend in the summer. I am also looking forward to graduating from post-secondary in June. ,I had a lot of fun playing Garfield-kart with my friends. The game is very poorly controlled and we had a lot of fun competing against each other.,"Things have been good. I was on christmas break after working for almost a year, so had plenty of time to relax and spend time with family and friends. Now that school has started again, I am a bit more stressed","If I had one extra hour every day, I would use to spend time practicing piano and guitar. If not that, I would spend time studying."
2023-01-12 14:34:33,I Agree,6271e4b2fb77dbaba98680dc,2023-01-12,"not really, I went home for Christmas which was good fun and it was nice to spend time with family, but nothing crazy exciting.","I am looking  to playing soccer again in the summer season, and training regularly in the gym and on the field this spring. ",The most fun I have had was visiting London. It was been a long time since I have been able to be a tourist in the city again. ,Things are great. I am settled back in work after Christmas and restarted at the gym which has helped my physically and mentally. ,"I would spend it working out or playing soccer, bettering myself in any way possible so that I am in the best shape possible. "
2023-01-12 14:38:01,I Agree,614ba3346c5d4e20423d4121,2023-01-12,I planned and booked two holidays to Europe with a friend and with my family.  It was exciting to pick the locations and plan the activities.,Yes I am looking forward to a trip to Scotland with a close friend and also a trip to Portugal during the summer with my husband and son.  ,"The most fund I had recently was a christmas party at work where everyone came out to enjoy food, music and dancing.",For the most part things have been boring and not much going on given the weather and that work is so busy at the moment.  ,"I'd spend it exercising, exploring new recipes, getting more information on sites for my upcoming trips, hanging out with my son and going to a movie or two."
2023-01-12 14:38:59,I Agree,5d5ad9a38fd0020001d2403f,2023-01-12,"Not really anything that excites me, personally, however over the Christmas break our family was gifted an overnight at a local waterpark/hotel, so I took the children and spent two days at the waterpark with them - so it was exciting and fun for them, and exciting for me to see their excitement, even though it wasn't exactly something that excited me directly. How about you?","Christmas break is over, so we are getting back into a regular scheadule.  I don't know of any specific thing coming up, but hopefully we will get to go away in the summer for a couple of days.  Anything coming up for you?","As I mentioned earlier, we did go to the waterpark overnight, thanks to a kind gift, so that was fun, and it was fun to see how excited the children were.  ","The past two weeks have been fine - we are getting back into a regular scheadule after the Christmas break, so that can be a bit stressful to get everyone back on track, but once it is established then everything runs smoothly again until the next break, so that's nice.","Probably sleeping.... I should spend it cleaning, but it's unlikely.  If I had one extra hour to myself every day that would be different - an hour where everyone was out of the house and I could do anything I liked - I might do something creative, or read a book, or learn something new.  I find it difficult to concentrated on learning new things or creating things when the children (and husband) are all in the house being loud, demanding and needing things.  I would love some quite space to learn or to create!"
2023-01-12 14:40:15,I Agree,5ec4706e8328653522db3b67,2023-01-12,"Yes I went to visit my long distance friend for a getaway, but I also got stuck at the airport for 35 hours unexpectedly, it was wild","Yes - a variety of milestones, parties, photoshoots that are all happening in the year of 2023. Will be fun and memorable.","Getaway to another province, experienced a snowstorm during the trip and it was a funny adventure definitely","Not much has been going on the past 2 weeks, just regular routine, and still recovering from all the energy used up from the holidays.","Probably stay up later for watching movies or playing games, or family time. I used to like having the extra hour to sleep but I can also function sleep-deprived too "
2023-01-12 14:40:35,I Agree,60d86238375036347c46a290,2023-01-12,I went home for Christmas and New Years. I missed my family members and celebrated Christmas and New Years with them. ,I am looking forward for my week break from school in February. During the break I plan to go home and visit my family as well as celebrate my birthday.,The most fun I've had recently was probably on Christmas when I spent the holidays with my extended family. My uncle has a karaoke machine so we were singing as well as we ate many good foods. ,"I think they've been okay. I really enjoyed my break from school, it was really relaxing and fun. I got to spend time with my family as well as relax before school started again.","If I had one extra hour every day, I would probably spend it sleeping or relaxing. The extra hour would help me unwind after a long day."
2023-01-12 14:40:52,I Agree,6046154dcebc390443ecbf1f,1989-08-31,"I started attending Brazilian Jiu-Jitsu classes in  December, and am really looking forward to learning more.",I'm in the process of going back to school to become a carpenter. I like working with my hands and I don't want to hang out at a desk any longer.,During christmas break I travel to see my family. I traveled with my girlfriend and cat to three different cities. ,Pretty busy with work. I'm trying to stay busy so I can pass time before I go to college. I'm also trying to save money so I haven't done anything outside of my regular routine. ,"Reading/doing a hobby. I work so much and I don't have a lot of time where I'm by myself, doing something I enjoy."
2023-01-12 14:40:59,I Agree,60e45a8df3027ddbbe481a65,2023-01-12,No I have not done anything that interesting lately. Then again on second thought - I have been experimenting in the kitchen,yes - a trip. Not just any trip either. This one is going to be a return trip to Thailand - our favourite of all time.,We've had a lot of fun playing with our young nephew. This kid never runs out of energy - he's just going all the time.,The past two weeks have been a little shaky. Business has slowed significantly and that's always a reason for concern.,Oh my - what a great question. If I had an extra hour in morning - I would add to the routines I already do - meditation and exercise.
2023-01-12 14:41:56,I Agree,5fcd71c07283d321e75d28ce,2023-01-12,I just went on a trip to Arkansas for the holidays! The nature was beautiful and the food was really good.,I don't really have anything big coming up. I'm attending a funeral next week and the school semester just started. There's a lot to stress about.,"In Arkansas, we visited a place called Eureka Springs. It was a pretty cute town with decent food and a lot of tourist-y shops!","Rather stressful. Our flights home involved some pretty tight layovers, but we thankfully made it home on time. The semester just started and I still haven't heard back from an internship I applied for. If I don't hear back soon, I'll need to find another position so I can graduate on time.","I'd spend it sleeping. I assume everyone would have an extra hour, so 25 hours a day would be a great addition to rest. If it were an extra hour of daylight, I'd probably spend more time outdoors."
2023-01-12 14:42:04,I Agree,5eff459491a1504a7d17e2f1,2023-01-12,"Yes, my birthday was last week. I went to the restaurant with some of my friends from school and my boyfriend.",I'm really looking forward to seeing my boyfriend soon. I'm inviting him over to my house and we are going to sleep together.,"I went to a very nice restaurant with my friends, I celebrated my birthday and i also celebrated my sister's. It was very fun.","Things have been okay lately. I had many things to do and it has been stressing me out a lot. Thankfully, I have more time to relax now.","I'd probably use it to sleep more. Sleep is very important and we do not get enough of it, I believe."
2023-01-12 14:43:02,I Agree,5ecf1fb0eed497344398139d,2023-01-12,"Recently, I have set up an aquaponic system in my home. I am raising some tilapia and growing some lettuces.",My lettuces germinated and now they have 4 leaves. I am expecting them to grow to edible size. I am looking forward to having some harvesting soon.,"At the beginning the fish tank water quality was not good. The ammonia level reached about 1ppm. After I added biofilter, it is now close to 0.","In the past 2 weeks, I have been really happy because I am able to solving some problems for my aquaponic system.","If I have one extra hour every day, I would do some exercises and watch some videos. I want to learn more about aquaponics."
2023-01-12 14:45:30,I Agree,5d6d32ead222ba001553e7bd,2023-01-12,"Not really, its been a pretty quiet couple of weeks. A lot of work and any spare time has been occupied with the family.","I am definitely looking forward to some time off work. I'm not even doing anything special nor going anywhere, just want to be able to move my headspace elsewhere.","After a particularly trying day I was feeling kind of grumpy. My kids came over and asked me to play soccer with them, at first I didn't want to but they convinced me. I'm glad they did, that was the highlight of the past couple of weeks.","Things have been hectic, both in my professional and personal life. Work has been very demanding and there appears to be no end to the crisis.","Playing video games, or watching movies or reading a book, just some relaxation time for myself. I don't seem to have the time for that anymore."
2023-01-12 14:46:24,I Agree,5fa91c5d816c5c831297d606,2023-01-12,"No I'm not. I don't feel fine. I stayed at home and I relaxed. A simple routine: I slept very much, I ate something","Absolutely not. As I was saying before, I don't feel good. I continue to relax and I'm waiting for my husband",Watching a lot of series of different genres. The last was Alice in Borderland a series based on a novel ,"Not really fine, for health problem. I'm pregnant and I feel not good I'm very tired, I can't eat a lot of things","I would love to stay more with my husband, without preoccupation connected to his work. Going around togheter"
2023-01-12 14:51:29,I Agree,5f0e28b536c61b1430d2248e,2023-01-12,"Not really, I've been working a lot so I haven't had much time off. I'm almost passed my work probation though.",Yeah I'm looking towards getting to spend my days off watching movies and shows. I've been meaning to catch up on watchlist.,I think back to this most recent Christmas that I've gotten to spend time with my family. It was a nice break from work.,"They've been alright. Even though we've passed New Years day, it still feels very much the same to me. ",I'd just spend it catching up on movies and tv shows. Perhaps even clean up around the house and do some errands.
2023-01-12 15:24:41,I Agree,6009a6d9be921301e3e6cef2,2023-01-12,I am good at skiing.   But I also want to learn snowboard. And I am about to start my own business. ,I am looking forward to learning snowboarding. I am also looking forward to the weekends when I can kick back.,I ski whenever I have time on weekends. I love snow sport. I am also leaning new stuff and trying to start my own business.,"It has been great. I work, study, enjoy skiing, and have good time with my family. And we are also preparing for the upcoming chinese new year.","I would exercise, swim, and learn new skills. I will also try to search for new business ideas and build my own business."
