Single Exchange,Curious Question
Question: Have you done anything exciting lately? Answer: Recently I went on a walk around campus that I really enjoyed. It was exciting because I had never been on this part of campus and I got to see lots of new places. It was fun to see a new side of campus!,What new places did you see on campus?
Question: Have you done anything exciting lately? Answer: Yesterday I took a train to escape the city and go to a farm. I picked apples and raspberries from a field and bought pumpkins for halloween! It was a great day.,What do you like the most about Halloween?
"Question: Have you done anything exciting lately? Answer: Yes! I had some cultural events this weekend. They were a lot of fun, and I did a lot of dancing. I think I got enough cardio in for the year. They happen on a yearly basis so I already can't wait for next year.",What cultural events did you partake in?
Question: Have you done anything exciting lately? Answer: I started school again after my internship and got the opportunity to reconnect with some of my old friends.,What did you work as in your internship?
"Question: Are you looking forward to anything soon? Answer: I'm looking forward to Halloween! I'm excited to get dressed up, eat candy, and get together with my friends.",What's your favourite Halloween costume of all time?
Question: Are you looking forward to anything soon? Answer: I am planning on buying flight tickets to go back home for Christmas,What do you enjoy doing during Christmas?
"Question: Are you looking forward to anything soon? Answer: I am looking forward to reading week. I hope I get to do something fun, maybe a trip with friends? Or maybe I'll just be at home. Regardless, I am looking forward to it.",What do you normally do during reading week?
Question: Are you looking forward to anything soon? Answer: I am looking forward to Reading Week - I think it will give me sometime to relax and catch-up on all the sleep I have been losing over this semester.,Have you always had sleeping problems?
Question: What was the most fun you’ve had recently? Answer: The most fun I've had recently was when I went out to have ramen with my friends. It was the best ramen I had eaten in a long time and afterwards we went shopping which was fun as well since we joked around a lot. It felt like I was back in high school with them.,What do you enjoy the most about your friends?
"Question: What was the most fun you’ve had recently? Answer: Recently I went on a day trip with my boyfriend and we had tons of fun, in general weekends are always fun because I don’t have to go to school and I can wake up late.",What's your favourite thing to do on the weekend?
"Question: What was the most fun you’ve had recently? Answer: For one of my courses, I had to do a mini field trip with my group. We had a lot of fun and somehow ended up being allowed to look through a party bus, because the driver saw us looking at the bus. It was very spontaneous and fun.",What was in the party bus that made it so fun?
"Question: What was the most fun you’ve had recently? Answer: For Thanksgiving, my roommates and I had a small ""Friendsgiving"" potluck dinner. It was really nice spending a relaxing evening having dinner and watching family movies with my closest friends.",What did you bring to the potluck?
"Question: How have things been these past 2 weeks? Answer: Things have been pretty great these past 2 weeks! I've been completing my work on time getting decent grades, and I've been exercising and eating healthier than the last time I went to university in person.",What has made you change and become healthier this year?
"Question: How have things been these past 2 weeks? Answer: Good I guess, I am always pretty busy and stressed with studying but so far I think I am achieving good results so I am quite satisfied with what I am doing.",Do you think there is something you could do to make studying less stressful?
Question: How have things been these past 2 weeks? Answer: Really good for the most part. I am starting to worry about falling behind at schoolwork as midterms are approaching. I am going to try to not cram for any midterms last minute.,What about the past 2 weeks has been really good?
Question: How have things been these past 2 weeks? Answer: Things have been very busy. Between school and job-hunting I barely get any real free time and most of the free time I do get is spent fulfilling social commitments - I don't ever really get me-time.,What would you do in your me-time?
"Question: If you had one extra hour every day, how would you spend it? Answer: If I had one extra hour every day, I would try to get some extra work done and out of the way so that I could have more freetime in the future.",What extra work would you work on?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would love to spend the time in self care activities but knowing myself I will always have something more urgent to prioritize to complete work/study activities in advance.",Why is your self-care not urgent?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would take time to do nothing. I read a book that emphasized how important it is for the brain to just be doing nothing other than just existing. I am almost always doing something, so I'd use this time to just sit and be.",Would you read another self-help book in this freetime?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would use the extra time to do something just for myself like skincare, reading, journaling, coloring, puzzles etc.",What's your favourite thing to do for yourself?
Question: Are you looking forward to anything soon? Answer: I'm looking forward to visiting my friend in her new home soon! She got married last year and is having a housewarming/reception party.,How did you get into rowing?
Question: Are you looking forward to anything soon? Answer: I am looking forward to a date I have after work on Friday. I am very excited but a bit nervous. How about yourself?,Do you live far from your family?
Question: Are you looking forward to anything soon? Answer: no. But i would like to make new friends but i am shy to approach anybody on my own. I do not know how ,Would you be interested in making new friends?
"Question: Are you looking forward to anything soon? Answer: I'm not sure I am.  The exciting time of year just passed.  Maybe the next long weekend in February will be exciting, but it'll also be cold.",What kind of activities do you enjoy doing with your kid?
Question: Are you looking forward to anything soon? Answer: I am looking forward to going on a trip to Japan with my boyfriend in the summer. I am also looking forward to graduating from post-secondary in June. ,What kind of competition did you get into?
"Question: Are you looking forward to anything soon? Answer: I am looking  to playing soccer again in the summer season, and training regularly in the gym and on the field this spring. ",Do you live far from your family?
Question: Are you looking forward to anything soon? Answer: Yes I am looking forward to a trip to Scotland with a close friend and also a trip to Portugal during the summer with my husband and son.  ,What part of Europe are you most excited to visit?
"Question: Are you looking forward to anything soon? Answer: Christmas break is over, so we are getting back into a regular scheadule.  I don't know of any specific thing coming up, but hopefully we will get to go away in the summer for a couple of days.  Anything coming up for you?",Was it tiring to take care of the kids at the waterpark?
"Question: Are you looking forward to anything soon? Answer: Yes - a variety of milestones, parties, photoshoots that are all happening in the year of 2023. Will be fun and memorable.",What did you do to kill time at the airport?
Question: Are you looking forward to anything soon? Answer: I am looking forward for my week break from school in February. During the break I plan to go home and visit my family as well as celebrate my birthday.,Was it a long time since you saw them? 
Question: Are you looking forward to anything soon? Answer: I'm in the process of going back to school to become a carpenter. I like working with my hands and I don't want to hang out at a desk any longer.,How did you decide to take up this sport?
